"no","universitas"
"1741","Akademi Pariwisata Yasmi"
"1742","Akademi Pariwisata Yogyakarta"
"1743","Akademi Pekerjaan Sosial"
"1744","Akademi Pelayaran Nasional Surakarta"
"1745","Akademi Perawatan Karya Bakti Husada Yogyakarta"
"1746","Akademi Perdagangan Bandung"
"1747","Akademi Perikanan Ibrahimy"
"1748","Akademi Perikanan Kamasan Biak"
"1749","Akademi Pertanian PGRI Wonosobo"
"1750","Akademi Sekretari dan Manajemen Indonesia Jayapura"
"1751","Akademi Sekretari dan Manajemen Indonesia Surabaya"
"1752","Akademi Sekretari dan Manajemen Insulindo"
"1753","Akademi Sekretari dan Manajemen Mataram"
"1754","Akademi Sekretari dan Manajemen Santa Anna"
"1755","Akademi Sekretari Manajemen Amsir Pare-Pare"
"1756","Akademi Sekretari Widya Mandala Surabaya"
"1757","Akademi Teknik Elektro Medik"
"1758","Akademi Teknik Indonesia Cut Meutia"
"1759","Akademi Teknik Radiodiagnostik dan Radioterapi (ATRO)"
"1760","Akademi Teknik Radiodiagnostik dan Radioterapi Nusantara"
"1761","Akademi Teknik Wacana Manunggal Semarang"
"1762","Akademi Telekomunikasi Nusantara"
"1763","Akademi Terapi Wicara Jakarta"
"1764","Akd Teknik Radiodiag. dan Radioterapi Widya Dharma"
"1765","AKTEK Radiodiagnostik dan Radioterapi Patriot Bangsa"
"1766","AKTEK Radiodiagnostik dan Radioterapi Bali"
"1767","AMIK AKMI"
"1768","AMIK Dian Cipta Cendikia Pringsewu"
"1769","AMIK Purnama Niaga"
"1770","Institut Informatika Indonesia Surabaya"
"1771","Institut Keguruan dan Ilmu Pendidikan Budi Utomo"
"1772","Institut Keguruan dan Ilmu Pendidikan PGRI Bali"
"1773","Institut Keguruan dan Ilmu Pendidikan PGRI Madiun"
"1774","Institut Kesehatan Deli Husada Deli Tua"
"1775","Institut Sains dan Teknologi Pradita"
"1776","Institut Teknologi Harapan Bangsa"
"1777","Institut Teknologi Minaesa"
"1778","Politeknik Agroindustri"
"1779","Politeknik Amamapare"
"1780","Politeknik Ganesha"
"1781","Politeknik Gunakarya Indonesia Bekasi"
"1782","Politeknik Kediri"
"1783","Politeknik Kesehatan Kementerian Kesehatan Semarang"
"1784","Politeknik Nasional Denpasar"
"1785","Politeknik Pratama Mulia"
"1786","Politeknik Wilmar Bisnis Indonesia"
"1787","Sekolah Tinggi Agama Buddha Negeri Raden Wijaya"
"1788","Sekolah Tinggi Agama Islam Al Gazali Bulukumba"
"1789","Sekolah Tinggi Desain Interstudi"
"1790","Sekolah Tinggi Farmasi Indonesia Perintis Padang"
"1791","Sekolah Tinggi Filsafat Theologia Jaffray"
"1792","Sekolah Tinggi Ilmu Dakwah dan Komunikasi Islam Al‐Aziz Batam"
"1793","Sekolah Tinggi Ilmu Kesejahteraan Sosial Manado"
"1794","STIA Prima"
"1795","STIE Amkop Makassar"
"1796","STIE Dharma Negara"
"1797","STIE Eka Prasetya"
"1798","STIE Ekuitas"
"1799","STIE Graha Kirana"
"1800","STIE Ibnusina"
"1801","STIE Indonesia Surabaya"
"1802","STIE IPWI Jakarta"
"1803","STIE Kasih Bangsa"
"1804","STIE Kesumanegara"
"1805","STIE Lamappoleonro"
"1806","STIE LPI Makassar"
"1807","STIE Madani Balikpapan"
"1808","STIE Mitra Indonesia"
"1809","STIE Mulia Darma Pratama"
"1810","STIE Nasional Samarinda"
"1811","STIE Swasta Mandiri"
"1812","STIE Totalwin"
"1813","STIE Widya Manggala"
"1814","STIE Widya Praja Tanah Grogot"
"1815","STIE Y P Kampus"
"1816","STIE Yadika Bangil"
"1817","STIE Yapis Merauke"
"1818","STIE YBPK Palangka Raya"
"1819","STIEB Perdana Mandiri"
"1820","STIH Awang Long"
"1821","STIH Gunung Jati"
"1822","STIH Muhammadiyah Bima"
"1823","STIK Trinita Manado"
"1824","STIKES Baramuli"
"1825","STIKES Mamba ul Ulum Surakarta"
"1826","STIKES Medika Teuku Umar"
"1827","STIKES Medistra Indonesia"
"1828","STIKES Nurul Hasanah Kutacane"
"1829","STIKES Santa Elisabeth Medan"
"1830","STIKES Yarsi Pontianak"
"1831","STIKES Yarsi Sumatera Barat"
"1832","Sekolah Tinggi Ilmu Manajemen Indonesia YAPMI"
"1833","Sekolah Tinggi Ilmu Manajemen Informatika dan Teknik Komputer Agamua Wamena Papua"
"1834","Sekolah Tinggi Ilmu Manajemen Lpmi"
"1835","Sekolah Tinggi Ilmu Manajemen Pase"
"1836","Sekolah Tinggi Ilmu Manajemen YKPN"
"1837","Sekolah Tinggi Ilmu Pendidikan Bunga Bangsa"
"1838","Sekolah Tinggi Ilmu Pertanian Farming"
"1839","Sekolah Tinggi Ilmu Pertanian Kendari"
"1840","Sekolah Tinggi Ilmu Pertanian Mujahidin Toli-toli-Toli-toli"
"1841","Sekolah Tinggi Ilmu Pertanian Surya Dharma"
"1842","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Bulukumba"
"1843","STKIP Pesisir Selatan"
"1844","Sekolah Tinggi Manajemen Taman Pendidikan 45"
"1845","Sekolah Tinggi Pariwisata Ambarrukmo"
"1846","Sekolah Tinggi Pariwisata Bali Internasional, Denpasar"
"1847","Sekolah Tinggi Pariwisata Satya Widya"
"1848","Sekolah Tinggi Pariwisata Triatma Jaya"
"1849","Sekolah Tinggi Pembangunan Masyarakat Santa Ursula"
"1850","Sekolah Tinggi Teknologi Industri dan Farmasi Bogor"
"1851","Sekolah Tinggi Penyuluhan Pertanian Magelang"
"1852","Sekolah Tinggi Penyuluhan Pertanian Medan"
"1853","Sekolah Tinggi Seni Musik Bandung"
"1854","Sekolah Tinggi Teknik Karawang"
"1855","Sekolah Tinggi Teknologi Indragiri"
"1856","Sekolah Tinggi Teknologi Pelalawan"
"1857","Sekolah Tinggi Teknologi Ronggolawe"
"1858","Sekolah Tinggi Teologi Internasional Harvest Semarang"
"1859","STIE Lembah Dempo"
"1860","STIE Musi"
"1861","STIE STEMBI"
"1862","STIE YKPN"
"1863","STIKES (STIKES) Lenggogeni Padang"
"1864","STIKES Aisyiyah Palembang"
"1865","STIKES Dharma Husada"
"1866","STIKES Muhammadiyah Cirebon"
"1867","STIKES Panti Rapih Yogyakarta"
"1868","STIKES Surabaya"
"1869","STIMIK Bina Bangsa"
"1870","STISIPOL Pahlawan 12"
"1871","STKIP Hamzar"
"1872","STKIP Pasundan"
"1873","STKIP Pembangunan Indonesia"
"1874","STMIK Antar Bangsa"
"1875","STMIK Indonesia Banda Aceh"
"1876","STMIK Nusa Mandiri Jakarta"
"1877","STMIK Parna Raya"
"1878","STMIK Primakara"
"1879","STMIK Raharja"
"1880","STMIK Tasikmalaya"
"1881","STMIK Tunas Bangsa"
"1882","Universitas Abdurrab"
"1883","Universitas Aisyiyah Yogyakarta"
"1884","Universitas Amikom Yogyakarta"
"1885","Universitas Balikpapan"
"1886","Universitas Bina Darma"
"1887","Universitas Darma Persada"
"1888","Universitas Galuh Ciamis"
"1889","Universitas Gresik"
"1890","Universitas Islam Darul 'Ulum"
"1891","Universitas Jabal Ghafur"
"1892","Universitas Katolik Darma Cendika"
"1893","Universitas Kristen Surakarta"
"1894","Universitas Mercu Buana Yogyakarta"
"1895","Universitas Muhammadiyah Purwokerto"
"1896","Universitas Multimedia Nusantara"
"1897","Universitas Panca Marga"
"1898","Universitas Quality"
"1899","Universitas Serambi Mekkah"
"1900","Universitas Siliwangi"
"1901","Universitas Sumatera Utara"
"1902","Universitas Tadulako"
"1903","Universitas Teknologi Sulawesi"
"1904","Universitas Tompotika Luwuk Banggai"
"1905","Universitas Wijaya Putra"
"1906","Universitas Yudharta Pasuruan"
"1907","Akademi Akuntansi Bandung"
"1908","Akademi Akuntansi Bina Insani"
"1909","Akademi Bahasa Asing New Media"
"1910","Akademi Farmasi Bina Husada Kendari"
"1911","Akademi Farmasi IKIFA"
"1912","Akademi Fisioterapi Muhammadiyah Aceh"
"1913","Akademi Fisioterapi Widya Husada"
"1914","Akademi Kebidanan Abdi Persada Banjarmasin"
"1915","Akademi Kebidanan Al-Ikhlas Cisarua"
"1916","Akademi Kebidanan An-Nur Husada Walisongo"
"1917","Akademi Kebidanan As-Syifa Kisaran"
"1918","Akademi Kebidanan Bakti Indonesia Bogor"
"1919","Akademi Kebidanan Bandung"
"1920","Akademi Kebidanan Baruna Husada Sibuhuan"
"1921","Akademi Kebidanan Bhakti Nusantara Salatiga"
"1922","Akademi Kebidanan Bhakti Purna Husada Serang"
"1923","Akademi Kebidanan Bhakti Putra Bangsa Purworejo"
"1924","Akademi Kebidanan Bhinneka Jakarta Satu"
"1925","Akademi Kebidanan Bogor Husada"
"1926","Akademi Kebidanan Budi Mulia Kotabaru"
"1927","Akademi Kebidanan Bunga Husada"
"1928","Akademi Kebidanan Darmais Padangsidimpuan"
"1929","Akademi Kebidanan Darmo Medan"
"1930","Akademi Kebidanan Darussalam"
"1931","Akademi Kebidanan Dr Soebandi"
"1932","Akademi Kebidanan Graha Husada Sampang"
"1933","Akademi Kebidanan Hafshawty Zainul Hasan Genggong"
"1934","Akademi Kebidanan Kartini Jakarta"
"1935","Akademi Kebidanan Konawe"
"1936","Akademi Kebidanan Manna"
"1937","Akademi Kebidanan Menara Primadani Soppeng"
"1938","Akademi Kebidanan PGRI Kediri"
"1939","Akademi Kebidanan Respati"
"1940","Akademi Kebidanan Sari Mulia"
"1941","Akademi Kebidanan Sempena Negeri Pekanbaru"
"1942","Akademi Kebidanan Sismadi"
"1943","Akademi Kebidanan Sukawati Lawang"
"1944","Akademi Kebidanan Takasima Kabanjahe"
"1945","Akademi Kebidanan Ummi Khasanah"
"1946","Akademi Kebidanan Widya Husada"
"1947","Akademi Kebidanan Widya Karsa Jayakarta"
"1948","Akademi Kebidanan Yayasan Husada Madani"
"1949","Akademi Kelautan Banyuwangi"
"1950","Akademi Keperawatan Al-Hikmah Brebes"
"1951","Akademi Keperawatan Bala Keselamatan"
"1952","Akademi Keperawatan Darmo Medan"
"1953","Akademi Keperawatan Deli Husada Delitua Medan"
"1954","Akademi Keperawatan Dharma Husada Cirebon"
"1955","Akademi Keperawatan Dirgahayu Samarinda"
"1956","Akademi Keperawatan Garuda Putih Jambi"
"1957","Akademi Keperawatan Kesdam I/Bukit Barisan Binjai"
"1958","Akademi Keperawatan Kesdam IV/Diponegoro"
"1959","Akademi Keperawatan Pangkalpinang"
"1960","Akademi Keperawatan Rumah Sakit Tk. II Pelamonia"
"1961","Akademi Keperawatan Rumkit Tingkat III Manado"
"1962","Akademi Keperawatan Sumber Waras"
"1963","Akademi Kesehatan Lingkungan Jabal Ghafur"
"1964","Akademi Kimia Industri Santo Paulus Semarang"
"1965","Akademi Manajemen Banda Aceh"
"1966","Akademi Manajemen Bumi Sebalo Bengkayang"
"1967","AMIK Multicom"
"1968","AMIK Itmi"
"1969","AMIK Mdp"
"1970","AMIK Royal"
"1971","Akademi Maritim Djadajat"
"1972","Akademi Maritim Pembangunan Jakarta"
"1973","Akademi Pariwisata Bunda Mulia"
"1974","Akademi Pariwisata dan Perhotelan Darma Agung"
"1975","Akademi Pariwisata Engku Putri Hamidah"
"1976","Akademi Pariwisata Indonesia"
"1977","Akademi Pariwisata Kupang"
"1978","Akademi Pariwisata Siliwangi"
"1979","Akademi Pariwisata Stipary"
"1980","Akademi Pariwisata Widya Dharma"
"1981","Akademi Pelayaran Niaga Indonesia Semarang"
"1982","Akademi Pendidikan Kesehatan Talitakum"
"1983","Akademi Perekam dan Informasi Kesehatan Iris"
"1984","Akademi Perikanan Yogyakarta"
"1985","Akademi Perniagaan dan Perusahaan APIPSU Medan"
"1986","Akademi Pertanian Hkti Banyumas"
"1987","Akademi Refraksi Optisi Surabaya"
"1988","Akademi Refraksi Optisi YLPTK SB"
"1989","Akademi Sekretari dan Manajemen Desanta"
"1990","Akademi Sekretari dan Manajemen Sriwijaya"
"1991","Akademi Sekretari dan Manajemen Tunas Harapan"
"1992","Akademi Sekretari Interstudi"
"1993","Akademi Sekretari Manajemen Indonesia Publik"
"1994","Akademi Sekretari Manajemen Maria Goreti"
"1995","Akademi Sekretari Manajemen Nusantara"
"1996","Akademi Sekretari Triguna"
"1997","Akademi Teknik dan Keselamatan Penerbangan Medan"
"1998","Akademi Teknik Elektro Medik Binalita Sudama"
"1999","Akademi Teknik Kupang"
"2000","Akademi Teknologi Bank Darah Surakarta"
"2001","AKBID Wira Husada Nusantara"
"2002","AKTEK Radiodiagnostik dan Radioterapi Muhammadiyah"
"2003","AKTEK Radiodiagnostik dan Terapi Citra Intan Persada"
"2004","AMIK Cipta Darma"
"2005","AMIK Datuk Parpatiah Nan Sabatang"
"2006","AMIK Depati Parbo Kerinci"
"2007","AMIK Dian Cipta Cendikia"
"2008","AMIK Harapan Bangsa Surakarta"
"2009","AMIK Jabal Ghafur"
"2011","AMIK Labuhan Batu"
"2012","AMIK Makassar"
"2013","AMIK Medan Business Polytechnic"
"2014","AMIK Sultan Agung"
"2015","AMIK Wira Nusantara"
"2016","ASM Widya Mandala Madiun"
"2017","ASMI Shita Palu"
"2018","IKIP Muhammadiyah Maumere"
"2019","Institut Agama Islam Az‐Zaytun Indonesia Indramayu"
"2020","Institut Agama Islam Darul Da'wah Wal Irsyad Polewali Mandar"
"2021","Institut Keguruan dan Ilmu Pendidikan PGRI Kalimantan Timur"
"2022","Institut Pertanian Intan"
"2023","Institut Seni Indonesia Padang Panjang"
"2024","Institut Seni Indonesia Surakarta"
"2025","Institut Studi Islam Fahmina"
"2026","Politeknik Al-Islam Bandung"
"2027","Politeknik Batulicin"
"2028","Politeknik Bisnis Indonesia"
"2029","Politeknik Bosowa"
"2030","Politeknik Gihon"
"2031","Politeknik Internasional Bali"
"2032","Politeknik ITdanB Medan"
"2033","Politeknik Karya Husada"
"2034","Politeknik Kelautan dan Perikanan Bitung"
"2035","Politeknik Kesehatan Siteba"
"2036","Politeknik Krakatau"
"2037","Politeknik Mitra Kusuma"
"2038","Politeknik Muhammadiyah Magelang"
"2039","Politeknik Muhammadiyah Pekalongan"
"2040","Politeknik Muhammadiyah Yogyakarta"
"2041","Politeknik Negeri Manado"
"2042","Politeknik Negeri Padang"
"2043","Politeknik Purbaya"
"2044","Politeknik Sakti Surabaya"
"2045","Politeknik Sinar Mas Berau Coal"
"2046","Politeknik Soca"
"2047","Politeknik Sukabumi"
"2048","Politeknik Surabaya"
"2049","Sekolah Agama Islam Rahmaniyah Sekayu"
"2050","Sekolah Tinggi Agama Islam Al ‐ Azhar Pekanbaru"
"2051","Sekolah Tinggi Agama Islam Al Falah As‐Sunniyah"
"2052","Sekolah Tinggi Agama Islam Al Hikmah Tuban"
"2053","Sekolah Tinggi Agama Islam Al‐Ma`arif Baradatu Way Kanan Lampung"
"2054","Sekolah Tinggi Bahasa Asing Sebelas April Sumedang"
"2055","Sekolah Tinggi Bahasa Asing Technocrat"
"2056","Sekolah Tinggi Bahasa Asing Widya Dharma Palembang"
"2057","Sekolah Tinggi Bahasa Harapan Bersama"
"2058","Sekolah Tinggi Bisnis dan Manajemen Dua Saudara"
"2059","Sekolah Tinggi Desain Indonesia"
"2060","Sekolah Tinggi Desain La Salle"
"2061","Sekolah Tinggi Farmasi YPIB Cirebon"
"2062","Sekolah Tinggi Filsafat Driyarkara"
"2063","Sekolah Tinggi Hukum Pasundan"
"2064","Sekolah Tinggi Ilmu Bahasa (STIBA) Hita Widya Singaraja"
"2065","Sekolah Tinggi Ilmu Bahasa dan Sastra Satya Widya"
"2066","Sekolah Tinggi Ilmu Keperawatan Muhammadiyah Pontianak"
"2067","Sekolah Tinggi Ilmu Keperawatan PPNI Jawa Barat"
"2068","Sekolah Tinggi Ilmu Komputer Al‐Khairiyah"
"2069","STIA Madani"
"2070","STIA Nasional"
"2071","STIA YPIAMI"
"2072","STIA YPPT Tasikmalaya"
"2073","STIE AKA"
"2074","STIE Al-Anwar"
"2075","STIE AMM"
"2076","STIE APRIN"
"2077","STIE Atma Bhakti Surakarta"
"2078","Sekolah Tinggi Ilmu Komputer Medan"
"2079","STIE Dharma Iswara Madiun"
"2080","STIE Dharma Putra Pekanbaru"
"2081","STIE Dwimulya"
"2082","STIE El Fatah Manado"
"2083","STIE Gempol"
"2084","STIE Gotong Royong"
"2085","STIE IBMT"
"2086","STIE IEU"
"2087","STIE Indonesia Banda Aceh"
"2088","STIE Indonesia Banjarmasin"
"2089","STIE Indonesia Medan"
"2090","STIE Indragiri"
"2091","STIE Jakarta International College"
"2092","STIE Kridatama Bandung"
"2093","STIE Lampung"
"2094","STIE Mahardhika"
"2095","STIE Miftahul Huda"
"2096","STIE Mitra Lampung"
"2097","STIE Muhammadiyah Kalianda"
"2098","STIE Nusantara Makassar"
"2099","STIE Pariwisata Internasional"
"2100","STIE PGRI Sukabumi"
"2101","STIE Prima Graha"
"2102","STIE Professional Manajemen College Indonesia"
"2103","STIE Riau"
"2104","STIE Samarinda"
"2105","STIE Satria"
"2106","STIE SBI"
"2107","STIE Serasan Muara Enim"
"2108","STIE Tunas Nusantara"
"2109","STIE Umel"
"2110","STIE Unisadhuguna"
"2111","STIE Wira Bhakti"
"2112","STIE Yapis"
"2113","STIE Yapman Majene"
"2114","STIE YPHB"
"2115","STIH Lamaddukelleng"
"2116","STIH Litigasi"
"2117","STIH Muhammadiyah Kisaran"
"2118","STIH Putri Maharaja"
"2119","STIH Umel Mandiri"
"2120","STIKES Andini Persada"
"2121","Sekolah Tinggi Ilmu Komunikasi ITKP"
"2122","STIKES Ceria Buana"
"2123","STIKES Dehasen"
"2124","STIKES Getsempena Lhoksukon"
"2125","STIKES Husada Jombang"
"2126","STIKES Indramayu"
"2127","STIKES Istara Nusantara"
"2128","STIKES Kuningan Garawangi"
"2129","STIKES Maranatha Kupang"
"2130","STIKES Mega Buana Palopo"
"2131","STIKES Muhammadiyah Gombong"
"2132","STIKES Telogorejo Semarang"
"2133","STIKES Tri Mandiri Sakti Bengkulu"
"2134","STIKES Widyagama Husada"
"2135","STIKESMAS Abdi Nusa"
"2136","STISIP Imam Bonjol"
"2137","Sekolah Tinggi Ilmu Manajemen Boalemo"
"2138","Sekolah Tinggi Ilmu Maritim Ami"
"2139","STKIP Mega Rezky"
"2140","STKIP Muhammadiyah Palopo"
"2141","STKIP Pangeran Antasari"
"2142","Sekolah Tinggi Pariwisata Bogor"
"2143","Sekolah Tinggi Multi Media ""MMTC"" Yogyakarta"
"2144","STMIK Jibes"
"2145","Sekolah Tinggi Pariwisata Trisakti"
"2146","Sekolah Tinggi Penyuluhan Pertanian Manokwari"
"2147","Sekolah Tinggi Perkebunan Lampung"
"2148","Sekolah Tinggi Pertanian Haji Agus Salim"
"2149","Sekolah Tinggi Teknik Multimedia Cendekia Abditama"
"2150","Sekolah Tinggi Teknik Wiworotomo"
"2151","Sekolah Tinggi Teknologi 10 November"
"2152","Sekolah Tinggi Teknologi Dr. KH. EZ Muttaqien, Purwakarta"
"2153","Sekolah Tinggi Teknologi Industri Padang"
"2154","Sekolah Tinggi Teknologi Informasi NIIT"
"2155","Sekolah Tinggi Teknologi Kelautan Balik Diwa"
"2156","Sekolah Tinggi Teknologi Payakumbuh"
"2157","Sekolah Tinggi Teknologi Pomosda"
"2158","Sekolah Tinggi Teknologi Sapta Taruna"
"2159","Sekolah Tinggi Teknologi Terpadu Nurul Fikri"
"2160","Sekolah Tinggi Teknologi YBS Internasional"
"2161","Sekolah Tinggi Telekomunikasi Telkom"
"2162","Sekolah Tinggi Teologi Baptis Indonesia"
"2163","Sekolah Tinggi Teologi Kristus Alfa Omega"
"2164","Sekolah Tinggi Teologi Lighthouse Equipping Theological School"
"2165","Sekolah Tinggi Teologi Marturia"
"2166","Sekolah Tinggi Teologi Pantekosta Poso"
"2167","STIE Prasetya Mandiri Lampung"
"2168","STIH Padang"
"2169","STIKES Bina Husada"
"2170","STIKES Majapahit"
"2171","STIKES Mercubaktijaya"
"2172","STIKES Muhammadiyah Ciamis"
"2173","STIKES Payung Negeri Aceh Darussalam"
"2174","STIKES Pekanbaru Medical Center"
"2175","STIKES Syedza Saintika"
"2176","STIKES Tarakanita"
"2177","STIKES Yapika Makassar"
"2178","STIMIK Tunas Bangsa Banjarnegara"
"2179","STIPSI Abdi Nusa"
"2180","STKIP Barus Tapanuli Tengah"
"2181","STKIP Citra Bina Nusantara"
"2182","STKIP Darud Da wah Wal Irsyad Pinrang"
"2183","STKIP Darussalam Cilacap"
"2184","STKIP Dharma Wacana"
"2185","STKIP Harapan Bima"
"2186","STKIP Hermon Timika"
"2187","STKIP Muhammadiyah Aceh Tengah"
"2188","STKIP Muhammadiyah Blora"
"2189","Universitas Djuanda"
"2190","STKIP PGRI Ponorogo"
"2191","STKIP Saumlaki"
"2192","STKIP Simbiosis"
"2193","STKIP Syekh Manshur"
"2194","STKIP Tomakaka Tiwikrama"
"2195","STKIP Usman Safri Kutacane"
"2196","STKIP Widya Yuwana"
"2197","STKIP Yasika"
"2198","STKIP YPM Bangko"
"2199","STMIK Amikom Purwokerto"
"2200","STMIK Asia Malang"
"2201","STMIK Bina Bangsa"
"2202","STMIK Bina Nusantara Jaya Lubuk Linggau"
"2203","STMIK Bina Patria"
"2204","STMIK Bina Sarana Global"
"2205","STMIK DCI"
"2206","STMIK Duta Bangsa"
"2207","STMIK Global Informatika Mdp"
"2208","STMIK IBBI"
"2209","STMIK Indragiri"
"2210","STMIK ITMI Medan"
"2211","STMIK Kadiri"
"2212","STMIK Kalirejo Lampung"
"2213","STMIK Kreatindo Manokwari"
"2214","STMIK Mardira Indonesia"
"2215","STMIK Mitra Lampung"
"2216","STMIK Muara Dua"
"2217","STMIK Musi Rawas"
"2218","STMIK Palangkaraya"
"2219","STMIK PPKIA Pradnya Paramita"
"2220","STMIK Pringsewu"
"2221","STMIK Putera Batam"
"2222","STMIK Royal"
"2223","STMIK Samarinda"
"2224","STMIK Sentra Pendidikan Bisnis"
"2225","STMIK Sisingamangaraja XII"
"2226","STMIK Syaikh Zainuddin NW"
"2227","STMIK Uyelindo Kupang"
"2228","STMIK Widya Cipta Dharma"
"2229","STMIK Widya Pratama"
"2230","STMIK WIT Cirebon"
"2231","Universitas 17 Agustus 1945 Banyuwangi"
"2232","Universitas 45 Makassar"
"2233","Universitas 45 Mataram"
"2234","Universitas Agung Podomoro"
"2235","Universitas Ahmad Dahlan"
"2236","Universitas Al Asyariah Mandar"
"2237","Universitas Al-azhar"
"2238","Universitas Asahan"
"2239","Universitas Bina Bangsa"
"2240","Universitas Darussalam Gontor"
"2241","Universitas Dehasen Bengkulu"
"2242","Universitas Dharmas Indonesia"
"2243","Universitas Doktor Nugroho Magetan"
"2244","Universitas Gadjah Mada"
"2245","Universitas Gajah Putih"
"2246","Universitas Gajayana"
"2247","Universitas Islam Kalimantan Muhammad Arsyad Al‐Banjary"
"2248","Universitas Jakarta"
"2249","Universitas Kader Bangsa"
"2250","Universitas Kristen Petra"
"2251","Universitas Mathla ul Anwar"
"2252","Universitas Muhammadiyah Gresik"
"2253","Universitas Muhammadiyah Lampung"
"2254","Universitas Muhammadiyah Luwuk Banggai"
"2255","Universitas Muhammadiyah Ponorogo"
"2256","Universitas Muhammadiyah Riau"
"2257","Universitas Muslim Nusantara al Wasliyah"
"2258","Universitas Nusa Cendana"
"2259","Universitas Panca Bhakti"
"2260","Universitas Pembangunan Nasional ""Veteran"" Yogyakarta"
"2261","Universitas PGRI Adi Buana"
"2262","Universitas Sanata Dharma"
"2263","Universitas Semarang"
"2264","Universitas Sultan Fatah"
"2265","Universitas Warmadewa"
"2266","Universitas Winaya Mukti"
"2267","Universitas WR Supratman"
"2268","Akademi Analis Farmasi dan Makanan Putra Indonesia Malang"
"2269","Akademi Analis Kesehatan Pekanbaru"
"2270","Akademi Bahasa Asing Widya Dharma"
"2271","Akademi Gizi Sinka Dharma Madani Singkawang"
"2272","Akademi Kebidanan Payung Pelalawan"
"2273","Akademi Keperawatan Pelni"
"2274","Akademi Keperawatan POLRI"
"2275","Akademi Ketalak Pelayaran Niagakeplb Kendari"
"2276","Akademi Keuangan dan Perbankan Padang"
"2277","Akademi Keuangan Perbankan Widya Buana"
"2278","Akademi Komunitas Multistrada"
"2279","Akademi Komunitas Presiden"
"2280","Akademi Komunitas Semen Indonesia Rembang"
"2281","Akademi Manajemen Bisnis Bina Darma Swakarya"
"2282","AMIK Dumai"
"2283","AMIK Garut"
"2284","AMIK Hass"
"2285","Akademi Maritim Maluku"
"2286","Akademi Maritim Suaka Bahari"
"2287","Akademi Pariwisata Indraprasta"
"2288","Akademi Pariwisata Jakarta"
"2289","Akademi Pariwisata Matoa"
"2290","Akademi Pariwisata Nasional Banjarmasin"
"2291","Akademi Perawatan RS PGI Cikini"
"2292","Akademi Perekam Medik dan Informatika Kesehatan Citra Medika"
"2293","Akademi Perikanan dan Ilmu Kelautan"
"2294","Akademi Refraksi Optisi Kartika Indera Persada"
"2295","Akademi Sekretari dan Manajemen Bina Insani"
"2296","Akademi Sekretari dan Manajemen BSI Bandung"
"2297","Akademi Sekretari Manajemen Atmajaya Makassar"
"2298","Akademi Teknik Informatika Tunas Bangsa"
"2299","Akademi Teknologi Industri Immanuel"
"2300","Akademi Teknologi Warga Surakarta"
"2301","AKAFARMA Putra Indonesia Lampung"
"2302","AMIK Lamappapoleonro Soppeng"
"2303","Institut Agama Islam Negeri Ambon"
"2304","Institut Agama Islam Negeri Mataram"
"2305","Institut Teknologi Batam"
"2306","Institut Teknologi dan Bisnis Kalbis"
"2308","Politeknik Darusalam"
"2309","Politeknik Kridatama Bandung"
"2310","Politeknik Maritim AMI Makassar"
"2311","Politeknik Negeri Balikpapan"
"2312","Politeknik Unisma Malang"
"2313","STIA Denpasar"
"2314","STIE Eben Haezer Manado"
"2315","STIE Lantim Way Jepara"
"2316","STIE Nobel Indonesia"
"2317","STIE Pontianak"
"2318","STIE Triatma Mulya"
"2319","STIH Manokwari"
"2320","STIKES Bhakti Mandala Husada Slawi"
"2321","STIKES Darmais Padangsidimpuan"
"2322","STIKES Mega Rezky"
"2323","STIKES Muhammadiyah Lhokseumawe"
"2324","STIKES Satria Bhakti Nganjuk"
"2325","STISIP 17-8-1945 Makassar"
"2326","Sekolah Tinggi Ilmu Pertanian Muhammadiyah Tanah Grogot"
"2327","Sekolah Tinggi Teknik Surabaya"
"2328","Sekolah Tinggi Teknologi Adisutjipto"
"2329","STIKES Bina Cipta Husada"
"2330","STIKES Karya Husada Kediri"
"2331","STISIP Merdeka Manado"
"2332","STISIP Silas Papare Jayapura"
"2333","STMIK Mahakarya"
"2334","STMIK Pasim Sukabumi"
"2335","Universitas Borneo Tarakan"
"2336","Universitas Budi Luhur"
"2337","Universitas Bung Hatta"
"2338","Universitas Islam Makassar"
"2339","Universitas Merdeka Ponorogo"
"2340","Universitas Pelita Harapan"
"2341","Akademi Akuntansi Indonesia Padang"
"2342","Akademi Akuntansi Nasional"
"2343","Akademi Analis Kesehatan Borneo Lestari Banjarbaru"
"2344","Akademi Analis Kesehatan Theresiana"
"2345","Akademi Bahasa Asing Balikpapan"
"2346","Akademi Bahasa Asing Netaiken Wamena"
"2347","Akademi Bahasa Asing Santa Mary Ende"
"2348","Akademi Bahasa Asing Santa Ursula"
"2349","Akademi Bakti Kemanusiaan Palang Merah Indonesia"
"2350","Akademi Farmasi Al-Ishlah Cilegon"
"2351","Akademi Farmasi Bhumi Husada"
"2352","Akademi Farmasi Mitra Sehat Mandiri Sidoarjo"
"2353","Akademi Farmasi Ranah Minang"
"2354","Akademi Farmasi Yannas Husada"
"2355","Akademi Gizi Karya Husada Kediri"
"2356","Akademi Kebidanan Adila"
"2357","Akademi Kebidanan Ar‐Rum Salatiga"
"2358","Akademi Kebidanan Banua Bina Husada"
