"no","universitas"
"351","Sekolah Tinggi Agama Islam Haji Agus Salim Cikarang"
"352","Sekolah Tinggi Agama Islam Hasan Jufri Bawean Gresik"
"353","Sekolah Tinggi Agama Islam Hubbulwathan Duri"
"354","Sekolah Tinggi Agama Islam Ibnu Rusyid"
"355","Sekolah Tinggi Agama Islam Ibnu Sina Batam"
"356","Sekolah Tinggi Agama Islam Jama'iyah Mahmudiyah Tanjung Pura Langkat"
"357","Sekolah Tinggi Agama Islam Kerinci"
"358","Sekolah Tinggi Agama Islam Kharisma Cicurug"
"359","Sekolah Tinggi Agama Islam Kuala Kapuas"
"360","Sekolah Tinggi Agama Islam Luqman Al‐Hakim Surabaya"
"361","Sekolah Tinggi Agama Islam Ma`arif Jambi"
"362","Sekolah Tinggi Agama Islam Ma`arif Kalirejo Lampung Tengah"
"363","Sekolah Tinggi Agama Islam Ma`arif Magetan"
"364","Sekolah Tinggi Agama Islam Madrasah Arabiyah pesisirselatan"
"365","Sekolah Tinggi Agama Islam Majalengka"
"366","Sekolah Tinggi Agama Islam Miftahul Ula Nganjuk"
"367","Sekolah Tinggi Agama Islam Miftahul Ulum"
"368","Sekolah Tinggi Agama Islam Miftahul Ulum Sumenep"
"369","Sekolah Tinggi Agama Islam Muara Bulian Batanghari"
"370","Sekolah Tinggi Agama Islam Muhammadiyah Bima"
"371","Sekolah Tinggi Agama Islam Muhammadiyah Paciran"
"372","Sekolah Tinggi Agama Islam Muhammadiyah Probolinggo"
"373","Sekolah Tinggi Agama Islam Muhammadiyah Sinjai"
"374","Sekolah Tinggi Agama Islam Nahdlatul Ulama Pacitan"
"375","Sekolah Tinggi Agama Islam Natuna"
"376","Sekolah Tinggi Agama Islam Nazhatut Thullab"
"377","Sekolah Tinggi Agama Islam Negeri Batusangkar"
"378","Sekolah Tinggi Agama Islam Negeri Bengkalis"
"379","Sekolah Tinggi Agama Islam Negeri Curup"
"380","Sekolah Tinggi Agama Islam Negeri Gajah Putih Takengon"
"381","Sekolah Tinggi Agama Islam Negeri Jember"
"382","Sekolah Tinggi Agama Islam Negeri Jurai Siwo Metro"
"383","Sekolah Tinggi Agama Islam Negeri Kediri"
"384","Sekolah Tinggi Agama Islam Negeri Kerinci"
"385","Sekolah Tinggi Agama Islam Negeri Kudus"
"386","Sekolah Tinggi Agama Islam Negeri Malikussaleh Lhokseumawe"
"387","Sekolah Tinggi Agama Islam Negeri Palopo"
"388","Sekolah Tinggi Agama Islam Negeri Pamekasan"
"389","Sekolah Tinggi Agama Islam Negeri Pare‐Pare"
"390","Sekolah Tinggi Agama Islam Negeri Pekalongan"
"391","Sekolah Tinggi Agama Islam Negeri Ponorogo"
"392","Sekolah Tinggi Agama Islam Negeri Purwokerto"
"393","Sekolah Tinggi Agama Islam Negeri Salatiga"
"394","Sekolah Tinggi Agama Islam Negeri Sultan Qaimuddin Kendari"
"395","Sekolah Tinggi Agama Islam Negeri Syaikh Abdurrahman Siddik Bangka Belitung"
"396","Sekolah Tinggi Agama Islam Negeri Teungku Dirundeng Meulaboh"
"397","Sekolah Tinggi Agama Islam Negeri Watampone"
"398","Sekolah Tinggi Agama Islam Ngawi"
"399","Sekolah Tinggi Ekonomi Islam Tazkia"
"400","Sekolah Tinggi Agama Islam Nurul Falah Airmolek Indragiri"
"401","Sekolah Tinggi Agama Islam Nurul Hidayat Selat Panjang"
"402","Sekolah Tinggi Agama Islam Nurul Huda Kapongan Situbondo"
"403","Sekolah Tinggi Agama Islam Panca Budi"
"404","Sekolah Tinggi Agama Islam Pancawahana Bangil"
"405","Sekolah Tinggi Agama Islam Pangeran Diponegoro Nganjuk"
"406","Sekolah Tinggi Agama Islam Pertinu"
"407","Sekolah Tinggi Agama Islam Raden Rahmat Kepanjen"
"408","Sekolah Tinggi Agama Islam Rasyidiyah Khalidiyah Kalimantan Selatan"
"409","Sekolah Tinggi Agama Islam Raudhatul Akmal"
"410","Sekolah Tinggi Agama Islam Rokan Besar Batu Rokan Hilir Riau"
"411","Sekolah Tinggi Agama Islam Salahuddin"
"412","Sekolah Tinggi Agama Islam Sangatta Kutai Timur"
"413","Sekolah Tinggi Agama Islam Sayid Sabiq Indramayu"
"414","Sekolah Tinggi Agama Islam Sepakat Segenep Kutacane"
"415","Sekolah Tinggi Agama Islam Solok Nan Indah"
"416","Sekolah Tinggi Agama Islam Sufyan Tsauri Majenang"
"417","Sekolah Tinggi Agama Islam Sultan Abdurrahman"
"418","Sekolah Tinggi Agama Islam Sultan Syarif Hasyim Siak Sri Indrapura"
"419","Sekolah Tinggi Agama Islam Syarifuddin Lumajang"
"420","Sekolah Tinggi Agama Islam Syekh H. Abdul Halim Al‐Ishlahiyah"
"421","Sekolah Tinggi Agama Islam Tapanuli"
"422","Sekolah Tinggi Agama Islam Tasikmalaya"
"423","Sekolah Tinggi Agama Islam Tebing Tinggi Deli"
"424","Sekolah Tinggi Agama Islam Tuanku Tambusai Riau"
"425","Sekolah Tinggi Agama Islam Tulang Bawang"
"426","Sekolah Tinggi Agama Islam UISU Pematangsiantar"
"427","Sekolah Tinggi Agama Islam Walisembilan"
"428","Sekolah Tinggi Agama Islam YASBA Kalianda"
"429","Sekolah Tinggi Agama Islam Yasni Muara Bungo Jambi"
"430","Sekolah Tinggi Agama Islam Yayasan Tarbiyah Islamiyah Lubuk Bagalung Padang"
"431","Sekolah Tinggi Agama Islam YDI Lubuk Sikaping"
"432","Sekolah Tinggi Agama Islam YPI Al Ikhlas Painan"
"433","Sekolah Tinggi Agama Islam YPK Imam Bonjol"
"434","Sekolah Tinggi Agama Kristen Anak Bangsa"
"435","Sekolah Tinggi Agama Kristen Arastamar Grimenawa Jayapura"
"436","Sekolah Tinggi Agama Kristen Arastamar Soe"
